file,start,base_mad,base_rmse,base_bias,base_w5,base_w10,base_r,acc_tp,acc_fp,acc_fn,acc_n_true,acc_n_pred,acc_dice,acc_tp_eb,acc_fp_eb,acc_fn_eb,dec_tp,dec_fp,dec_fn,dec_n_true,dec_n_pred,dec_dice,dec_tp_eb,dec_fp_eb,dec_fn_eb
test08.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test09.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test09.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test10.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test10.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test11.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test11.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test12.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test12.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test13.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test13.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test14.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test14.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test15.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test15.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
